company,email,role,Status,Letter,summary
Life @ Get Licensed,hr@get-licensed.co.uk,AI Product Engineer,sent,"Hi Life @ Get Licensed team,

Your AI Product Engineer opening in Karachi matches the Next.js/React and Python agent work I have been shipping at Codet.ai.

I am Muddasir, a software engineer at Codet.ai with under two years of experience building no-code apps, drag-and-drop workflows, and an in-app AI assistant.

I built AutoCloudEngineerAgent on LangGraph: it proposes infra, deploys only to a Kubernetes canary, runs invariant benches, then rolls back or recommends promotion under hard safety c","Karachi AI Product Engineer posting. Fit: Codet.ai product + LangGraph AutoCloudEngineerAgent, Next.js/React, Python. Early-career 0-2 YOE. Portfolio muddasirrizwan.com GitHub github.com/Muddasirr. Ba"
Bykea,careers@bykea.com,Fullstack Engineer,sent,"Hi Bykea team,

I'm reaching out about the Fullstack Engineer role in Karachi.

I'm Muhammad Muddasir Rizwan, a software engineer at Codet.ai with a recent Java fintech API stint at Euronet.

At Codet.ai I build Next.js and React features with PostgreSQL-backed APIs, including dynamic database modules and drag-and-drop workflow UI on our no-code platform.

I'm early career and open to onsite or hybrid in Karachi. Would you have 15 minutes this week?

+92-3249867842
muddasirrizwan9@gmail.com
mudd","Karachi Fullstack Engineer. Fit: Next.js/React + APIs at Codet.ai, Java/fintech at Euronet, PostgreSQL. Junior/early-career. Open to Karachi onsite/hybrid."
Plutus21,hr@plutus21.com,Full Stack Engineer,sent,"Hi Plutus21 team,

Saw your Karachi Full Stack Engineer role for someone building and shipping in TypeScript/React/Next.js and Python/FastAPI.

I'm Muddasir Rizwan, a software engineer at Codet.ai in Karachi, currently shipping full-stack product on that stack.

At Codet.ai I built a no-code platform in Next.js and FastAPI: dynamic database modules, drag-and-drop workflows, and features from design through production for real users.

Open to a 15-minute call this week if that sounds useful.

Bes","Karachi Full Stack Engineer. Fit: TypeScript/React/Next.js, Python/FastAPI, product shipping at Codet.ai. Honest 0-2 YOE. Karachi-based."
Smart Working,hr@smartworking.io,"Cloud Engineer - Frontend-Focused (Remote, PK)",sent,"Hi Smart Working team,

I'm interested in your Cloud Engineer, Frontend-Focused role (Remote PK, AS315), where Next.js/React UI systems meet Docker and K8s canary deployment work.

I'm Muddasir Rizwan, a software engineer at Codet.ai building and scaling a Next.js no-code platform with dynamic databases and drag-and-drop workflows.

I built AutoCloudEngineerAgent with LangGraph: it proposes infra, deploys only to a Kubernetes canary, runs invariant benches, then rejects, rolls back, or recommend","Remote PK Cloud Engineer frontend-focused AS315. Fit: Next.js/React UI systems, some Docker/K8s canary context from AutoCloud agent work. Early-career. Prefer frontend-leaning cloud/UI."
Emumba,careers@emumba.com,Software Engineer / Frontend (React/Next.js),sent,"Hi Emumba team,

I'm reaching out about your Software Engineer / Frontend role in React and Next.js. I'm Muddasir Rizwan, a software engineer at Codet.ai in Karachi with a BS in Computer Science from IBA Karachi.

At Codet.ai I've built and scaled a Next.js no-code platform with drag-and-drop workflows and UI components, matching the React/Next.js frontend stack you're hiring for at the junior or associate level.

Would you have 15 minutes this week for a quick call?

Muddasir Rizwan
+92-3249867",Applying for junior/associate frontend or fullstack React/Next.js roles at Emumba (Pakistan). Codet.ai Next.js platform + LangGraph agents. IBA CS. Karachi/Islamabad open. Resume attached.
Arbisoft,careers@arbisoft.com,Associate / Junior Software Engineer (React/Python),sent,"Hi Arbisoft team,

Saw your Associate / Junior Software Engineer role for React/Next.js and Python at Arbisoft Pakistan.

I'm Muddasir Rizwan, Software Engineer at Codet.ai since June and a recent IBA Karachi CS grad focused on shipped product work.

At Codet.ai I built the no-code platform in Next.js and a LangGraph Python agent that deploys to Kubernetes canaries with automated rollback when invariant benches fail.

Could we grab 15 minutes this week? I'm open to Lahore or remote PK.

Best,
Mu",Arbisoft Pakistan hiring interest: associate/junior SWE with React/Next.js and Python. Codet.ai product engineer + Euronet Java APIs. IBA Karachi. Open Lahore/remote-PK.
Folio3,careers@folio3.com,Junior Full Stack / Frontend Developer,sent,"Hi Folio3 team,

I saw your Junior Full Stack / Frontend Developer role in Karachi and the ask for strong React, Next.js, and TypeScript for early-career engineers.

I'm Muddasir Rizwan, a software engineer at Codet.ai in Karachi shipping production Next.js and TypeScript apps since June 2025.

At Codet.ai I built and scaled a no-code platform with dynamic database modules and drag-and-drop UI workflows, which matches the full-stack frontend work in your posting.

Would you have 15 minutes this ","Folio3 Karachi/Pakistan junior FE or fullstack. Strong React/Next.js, TypeScript, some Python/Java. Early-career. Portfolio muddasirrizwan.com."
VentureDive,careers@venturedive.com,Associate Software Engineer / Frontend,sent,"Hi VentureDive team,

Reaching out about your Associate Software Engineer / Frontend role for Pakistan-based junior SWE and frontend engineers with Next.js product work.

I'm Muddasir Rizwan, a Karachi-based software engineer at Codet.ai and IBA CS grad (2025), currently shipping production Next.js and React on a live no-code product.

At Codet.ai I also built AutoCloudEngineerAgent in LangGraph: it proposes infra, deploys to a Kubernetes canary, and only promotes after invariant bench checks pa","VentureDive Pakistan associate/junior SWE or frontend. Next.js/React product work at Codet.ai, LangGraph agents. IBA CS grad. Based Karachi."
Confiz,careers@confiz.com,Junior Software Engineer (React / Full Stack),sent,"Hi Confiz team,

I'm interested in your Junior Software Engineer (React / Full Stack) role and the React/Next.js, Python, and fintech API exposure you're hiring for at 0-2 YOE in Karachi/Lahore.

I'm Muhammad Muddasir, a software engineer at Codet.ai in Karachi with a BS in Computer Science from IBA (2025).

At Euronet I shipped REST APIs for ISO 8583 payment processing with JWT RBAC and third-party payment integrations.

Would you have 15 minutes this week for a brief call?

Thank you,
Muhammad","Confiz Pakistan junior SWE interest. React/Next.js + Python, fintech API exposure. Early-career 0-2 YOE. Karachi/Lahore."
U-topia,careers@u-topia.com,Frontend Developer,sent,"Hi U-topia team,

I'm reaching out about your Frontend Developer role in Faisalabad. I'm Muddasir Rizwan, a software engineer at Codet.ai where I build a no-code platform in Next.js and React.

At Codet.ai I've shipped drag-and-drop workflow UIs and a dynamic database admin module with tables, fields, and relationships for production use. That is the kind of frontend product surface this role needs.

Could we grab 15 minutes this week for a quick conversation?

Best,
Muddasir Rizwan
+92-32498678","Faisalabad Frontend Developer posting. Fit: React/Next.js at Codet.ai, workflow/admin UIs. Open to Faisalabad/remote-PK. Early-career."
